name,description,lead source,c_name_dba_c,c_name_generic_c,c_listing_address_c,c_listing_city_c,c_listing_postal_c,c_listing_downpayment_c,c_listing_askingprice_c,c_listing_terms_c,c_listing_reasonforselling_c,c_listing_support_training_c,c_listing_featured_c,c_listing_relocatable_c,c_listing_franchise_c,c_financial_grossrevenue_c,c_financial_rent_c,c_listing_hours_c,c_listing_yearsest_c,c_listing_frontend_id_c,c_financial_leasedequip_c,Assigned_Broker,NAICDescription,DateAgreement Signed,Date Agreement Expires,LicenseRequired:,Days Open:,HoursOpen:,Employees:,Employees:,Status,c_listing_featured_c,Management will Stay:,State | Province,Main Business Phone:,Building Size:,Real State Estd,Real Estate Included,Real Estate Available,Real Estate Price,Real Estate Asking:,Remarks,Web City:,FF & E Asking,FF & E Included,Inventory Price Included,Inventory Price,c_financial_grossrevenue_c,Annual Cash Flow:,Liens Total,Year Acquired:,Date Modified:,Date Entered:,Assigned To Name,Monthly Payroll:,Building Size Type:,Is property leased?,seller,listing broker,currency
ABC Daycare & Learning CEnter,"Sunbelt Business Brokers of Lafayette presents this 30 year old daycare business for sale. Business is Class B licensed for 40 kids from the ages of 6 weeks to 5 years old and occupies a leased space of approximately 2,300sqft. Daycare is at near max capacity enrollment. Business could be opened on weekends to help generate additional revenue. Priced at only 2 times cash flow, this is an excellent buy for someone looking to own their own daycare. Business is located in a great area of town that has lots of mom&acirc;&euro;&trade;s with young children. 	Owner has decided to retire and is highly motivated to sell. Seller will also help stay on part time to help smooth out the transition period for new owner if desired. Owner may consider some seller financing for a qualified buyer with a suitable down payment. Contact us today for more information on this daycare business for sale. Come meet the owner, see the bustling daycare, make offer!",,ABC Daycare & Learning CEnter,"Daycare Business For Sale in Lafayette, LA",2110 North University Ave,Lafayette,,0,139000,,Retirement,Yes,1,Yes,Yes,210696,1200,,,LAFAYETLA1-N39,,Jason Lopez,Child Day Care Services,3/11/2016 0:00,3/11/2016 0:00,,5 Days,,5,,Active,2,1,LA,337-232-5815,2300,1986,1,1,0,0,See Jason Lopez for more information.,Lafayette,20000,2,2,300,210696,63000,0,,6/20/2016 22:09,6/20/2016 22:09,Jason Lopez,7500,sq ft,2,,,
"Monkey Gamer, LLC","Sunbelt Business Brokers of Lafayette presents this retail video game store business for sale in Lafayette, Louisiana. Business has been in operation for over 8 years located on a busy main throughway in town. Business specializes in the sale and trade in of video games and repairing and selling new gaming counsels. Store has tenured and experienced staff and management. Store has established relationships with vendors to keep store stocked with the newest and hottest items. Store is open 7 days a week and needs minimal passive ownership to run. If you are looking for a good source of additional revenue, this is the investment opportunity for you.   The metro Lafayette, Louisiana region is a great place to live, work, and raise a family. The economy is booming as Lafayette is the epicenter of the booming oil and gas industry in south Louisiana. The area has plenty of affordable housing. Lafayette is a home to the University of Louisiana Lafayette, a major university with a top notch athletic program. Lafayette is in the heart of Cajun country an area were the residents are exceptionally friendly and love to have a good time. Outdoor recreational activities like hunting, fishing, boating, golfing, hiking, etc. abound. 	Owner has decided to pursue other business ventures and is highly motivated to sell. Seller will help train new owner on this easy to own and operate business. Owner will consider some seller financing for a qualified buyer with a reasonable down payment. Contact us today for more information on this retail video game store business for sale. Come meet the owner, see the potential fit for you, make offer!",,Play N Trade,Retail Video Game Store For Sale in Lafayette,2668 Johnston St. Suite A3,Lafayette,,0,269000,,Other Interests,Yes,1,Yes,Yes,360000,2700,,,LAFAYETLA1-N40,,Tana Moss,Retail Trade,11/24/2015 0:00,11/16/2016 0:00,,7 Days,,,,Active,2,1,LA,337-456-5163,1800,2007,1,1,0,0,,Lafayette,0,2,2,0,360000,107000,0,2007,6/20/2016 22:13,6/20/2016 22:13,Tana Moss,4250,sq ft,2,,,
C&T Feed Store,"Sunbelt Business Brokers of Lafayette presents this 3-year-old store feed store in a rural farming community in Acadiana region of south Louisiana. They provide sales and delivery of farm supplies including feed for horses, cattle and poultry as well as live animal sales of breeder chickens, chicks and rabbits. They also have fresh local produce such as watermelons and cantaloupes available for sale. They have a small horse tack area in the store that has new and used saddles and tack available for the horse enthusiast. Custom orders of all farm supplies needed are available upon request. If it can be used on a farm, they either have it in stock or can get it in the store quickly.    They are located on the main street in a quaint southern town with all the old southern charm. There is ample parking. The building is leased and is on a month to month rent with easy lease terms to transfer to a new owner. The building has over 4000 square feet of space available. Owner has decided to sell to pursue other business interests. Contact us today for more information!",,C&T Feed Store,Feed Store For Sale in Acadiana,370 E. Laurel Ave,Eunice,,0,79900,,Other Interests,Yes,1,Yes,Yes,137000,750,,,LAFAYETLA1-N42,,Tana Moss,Cattle Feedlots,6/8/2016 0:00,6/7/2017 0:00,,6 Days,,2,,Active,2,1,LA,337-546-5319,4300,2011,1,1,0,0,See Tana Moss for details.,Acadiana,0,2,2,40000,137000,30000,0,,6/20/2016 22:15,6/20/2016 22:15,Tana Moss,1200,sq ft,2,,,
Lemon Drop,"Sunbelt Business Brokers of Lafayette presents this beautiful bridal/formal boutique business for sale. The business specializes in unique designer gowns for weddings, prom and Mardi Gras, featuring the largest selection in the South. Located at a very busy intersection in a bustling, well-maintained shopping center, the store has excellent curb appeal and visibility. Over the last decade, this successful boutique has earned unparalleled brand recognition throughout the immediate area and beyond. Known for excellent service, this quality brand is ready to grow. The owner has been approached by companies interested in the opportunity to develop franchise locations. Owner has decided to sell to pursue and enjoy retirement. Seller will help train new owner in a transition period. Owner may consider some seller financing for a qualified buyer with a proper down payment. Contact us today for more information!",,Lemon Drop,Retail Women’s Bridal Boutique in Metro Lafayette,1209 Albertson Pkwy Suite J,Broussard,,0,595000,,Retirement,Yes,1,Yes,Yes,1025039,6900,,,LAFAYETLA1-N44,,Tana Moss,Other Clothing Stores,4/26/2016 0:00,10/26/2016 0:00,,6 Days,,10,,Active,2,2,LA,337-837-4033,6055,2007,1,1,0,0,See Tana Moss for more information.,Lafayette Metro,10000,2,2,500000,1025039,0,0,2007,6/24/2016 13:47,6/20/2016 22:17,Tana Moss,11500,sq ft,2,,,
Cajun Wharf,"This is a once and a lifetime opportunity to purchase an established turnkey Grill / Bar. Located on one of the highest trafficked roads in the area with fantastic visibility. Take advantage of the investment the current owner has made in this business. A local hotspot with great food, drinks and entertainment. Business occupies approximately 3,500sqft of indoor seating and a patio area for outdoor gathering. Business has updated high volume video poker to help generate additional revenue.",,Cajun Wharf,Popular Grill & Bar in Growing Lake Charles,3500 Ryan St,Lake Charles,,0,365000,,Other Interests,Yes,1,Yes,Yes,859000,2160,,,LAKECHR001-N1,,David Rose,Full-Service Restaurants,3/24/2016 0:00,3/24/2017 0:00,"Video Poker, Occupational",6 Days,,,16,Active,2,1,LA,,3500,2005,1,1,0,0,See David Rose for more information.,Lake Charles,75000,2,2,10000,859000,150000,0,2005,6/21/2016 15:13,6/21/2016 15:13,David Rose,0,sq ft,2,,,
Bella's Bridal - Mr. Formal,"Sunbelt Business Brokers of Lake Charles presents this two decade old bridal and formal wear business for sale. Business offers a wide and extensive variety of name brand formal wear for men and women. Location has a great lease and with the ability to expand if the new owner would like too. Business has a great customer service reputation and draws people in from all the surrounding areas.  Lake Charles is fast growing, and this means there is plenty of room for this business to grow with plenty of families moving into the region. 	Owner has decided to pursue other interests and is motivated to sell. Seller will help train new owner in a transition phase. Owner may consider some seller financing for a qualified buyer with a reasonable down payment. Contact us today for more information on this bridal and formal wear business for sale. Come meet the owner, see the great operation in progress, make offer!",,Bella's Bridal - Mr. Formal,"Bridal and Formal Wear Business For Sale in Lake Charles, LA",2506 Ryan St,Lake Charles,,0,225000,,Other Interests,Yes,1,Yes,Yes,180000,1300,,,LAKECHR001-N2,,David Rose,Other Clothing Stores,5/18/2016 0:00,5/18/2017 0:00,,6 Days,,1,,Active,2,1,LA,337-802-1914,1800,1996,1,1,0,0,See David Rose for more information.,Lake Charles,25000,2,2,210000,180000,30000,0,2013,6/21/2016 15:14,6/21/2016 15:14,David Rose,0,sq ft,2,,,
Nutrition & Wellness Services,"Sunbelt Business Brokers of Lake Charles presents this franchise health club business for sale. Business has been open for over 17 years serving the Lake Charles and surrounding markets. Health club offers specialty classes targeting specific needs of clients wanting to get strong, in better shape, and to slim down.  Business is open 5 days a week and hours could be expanded to help bring in additional revenue.  Southwest Louisiana is booming!! Multiple billions of dollars of new industrial plants and expansions of existing plants are under construction or committed to be constructed. All of this has contributed to one of the lowest unemployment rates in the nation. Several casinos have opened recently and they are another major contributor to the economic boom. McNeese University located here has a large student population which is a good source of temp workers. Most economic prognostications predict the current boom will last for decades as it is heavily tied to the shale oil /gas fracking boom. 	Owner has other occupations taking away from the time needed to run the business and has decided to sell. Seller and franchisor will help train new owner on this easy to own and operate business. Owner will consider some seller financing for a qualified buyer with a reasonable down payment. Contact us today for more information on this franchise health club business for sale.",,Curves,"Franchise Health Club Business For Sale in Lake Charles, La",605 W. College,Lake Charles,,0,39000,,Other Occupations,Yes,1,Yes,2,60000,1200,,,LAKECHR001-N3,,David Rose,Fitness and Recreational Sports Centers,12/2/2015 0:00,12/2/2016 0:00,,5 Days,,,2,Active,2,1,LA,337.429.2427,,1998,1,1,0,0,,Lake Charles,12500,2,2,0,60000,15000,0,,6/21/2016 15:16,6/21/2016 15:16,David Rose,1100,sq ft,2,,,
Cajun Maids,"This home and apartment cleaning service business for sale is located in Lake Charles, Louisiana has been in operation for over 2 years. Owner has priced this business to sell and makes this an excellent opportunity for someone to get in at a great price! Business specializes in cleaning residential homes of all sizes serving other major markets in Louisiana like Baton Rouge and Lafayette! Business is mostly run totally online allowing it to be relocated. It has a fantastic site that helps allow people to book easily and draw in customers.  	Owner has decided to sell to pursue other interests and is motivated to facilitate a sale quickly! Seller will help train new owner on this east to own and operate business. Seller may consider some owner financing for a qualified buyer with a reasonable down payment from a qualified buyer. Contact us today for more information!",,Cajun Maids,"House Cleaning Business For Sale in Lake Charles, LA",1134 Sam Houston Jones Pkwy,Lake Charles,,0,89000,,Other Business Interests,Yes,1,No,Yes,200000,0,,,LAKECHR001-N4,,"Don Pippin, Jr.",Janitorial Services,9/14/2015 0:00,9/14/2016 0:00,,,,,,Active,2,1,LA,337-513-0777,,2012,1,1,0,0," This home and apartment cleaning service business for sale is located in Lake Charles, Louisiana has been in operation for over 2 years. Owner has priced this business to sell and makes this an excellent opportunity for someone to get in at a great price! Business specializes in cleaning residential homes of all sizes serving other major markets in Louisiana like Baton Rouge and Lafayette! Business is mostly run totally online allowing it to be relocated. It has a fantastic site that helps allow people to book easily and draw in customers. 
	Owner has decided to sell to pursue other interests and is motivated to facilitate a sale quickly! Seller will help train new owner on this east to own and operate business. Seller may consider some owner financing for a qualified buyer with a reasonable down payment from a qualified buyer. Contact us today for more information! 
",Lake Charles,0,2,2,0,200000,26000,0,2012,6/21/2016 15:17,6/21/2016 15:17,"Don Pippin, Jr.",0,sq ft,1,,,
Lucky Bounce Zone LLC,"This family entertainment business for sale has been in operation for almost a decade in Beaumont, Texas. Business specializes in hosting birthday parties and other fun events for kids weekly. The largest in the region, it is a popular place for families from all around. Business occupies a leased space of approximately 9,000sqft right off a major high traffic road in town with high visibility from the street.  	Owner wishes to pursue other business interests and is highly motivated to sell. Seller will consider some owner financing for a qualified buyer with a reasonable down payment. Contact us today for more information on this family entertainment center for sale, come meet the owner, see the awesome facility, make offer!",,Lucky Bounce Zone ,"Family Entertainment Center For Sale in Beaumont, TX",2910 Eastex Fwy,Beaumont,,0,149000,,Other business Interests,Yes,1,Yes,Yes,241000,5400,,,BEAUMTX001-N1,,"Don Pippin, Jr.","Arts, Entertainment, and Recreation",5/6/2015 0:00,5/6/2016 0:00,Yes,6,,0,5,Active,2,1,TX,4099249663,9000,2008,1,1,0,0,"This family entertainment business for sale has been in operation for almost a decade in Beaumont, Texas. Business specializes in hosting birthday parties and other fun events for kids weekly. The largest in the region, it is a popular place for families from all around. Business occupies a leased space of approximately 9,000sqft right off a major high traffic road in town with high visibility from the street. 
	Owner wishes to pursue other business interests and is highly motivated to sell. Seller will consider some owner financing for a qualified buyer with a reasonable down payment. Contact us today for more information on this family entertainment center for sale, come meet the owner, see the awesome facility, make offer!
",Beaumont,50000,2,1,0,241000,45000,0,2008,6/21/2016 15:33,6/21/2016 15:33,"Don Pippin, Jr.",4000,sq ft,2,,,
Meineke Car Care Center,"This franchise auto service business for sale has been in operation for over a decade in Beaumont, Texas. Business is one of the top producing franchises for its region and has a large base of loyal repeat cliental. Franchise is a highly recognizable nationwide brand and known as one of the bests. Owner owns the land and building and is willing to sign a long term lease for the buyer.  	Owner has other business interests and has decided to sell. Owner and franchisor will help train new owner on this easy to own and operate business. Seller will consider some owner financing for a qualified buyer with a reasonable down payment. Contact us today for more information on this franchise auto service business for sale, meet the owner, see the great operation, make offer!",,Meineke Car Care Center,"Franchise Auto Service Business For Sale in Beaumont, Texas",1765 N. Major Dr,Beaumont,,0,365000,,Other Business Interests,Yes,1,Yes,2,804000,0,,,BEAUMTX001-N2,,"Don Pippin, Jr.",Automotive Repair and Maintenance,3/25/2015 0:00,3/25/2016 0:00,,6 Days,,5,1,Active,2,1,TX,409-861-4397,3600,2004,1,1,0,0,"This franchise auto service business for sale has been in operation for over a decade in Beaumont, Texas. Business is one of the top producing franchises for its region and has a large base of loyal repeat cliental. Franchise is a highly recognizable nationwide brand and known as one of the bests. Owner owns the land and building and is willing to sign a long term lease for the buyer. 
	Owner has other business interests and has decided to sell. Owner and franchisor will help train new owner on this easy to own and operate business. Seller will consider some owner financing for a qualified buyer with a reasonable down payment. Contact us today for more information on this franchise auto service business for sale, meet the owner, see the great operation, make offer!
",Beaumont,0,2,2,15000,804000,104000,0,2004,6/21/2016 15:34,6/21/2016 15:34,"Don Pippin, Jr.",0,sq ft,1,,,
Methani Trading Inc. and Zulfiqar inc.,"This well-established dry cleaning business has been serving the Beaumont area for over 23 years. The business has 6 locations in the region, including a centrally located plant facility. The plant is over 19,000 square feet and is included in the purchase price. Additional locations are leased. Leases are transferrable to new owner. Plant facility can easily accommodate additional locations, allowing new owner opportunity to expand the business, creating added revenue. Owner will consider some seller financing for a qualified buyer with a reasonable down payment. Come by and check out this dry cleaning business for sale, meet the owner, make an offer! ",,New Eagle Dry Cleaners,Multi Location Dry Cleaning Business,1189 Calder,Beaumont,77701,0,650000,,,,1,Yes,Yes,500000,0,"M-F 7-6:30, Sat 8-4",,BEAUMTX001-N4,,Kimberly Jones,Drycleaning and Laundry Services,6/21/2016 0:00,6/21/2017 0:00,,6,"M-F 7-6:30, Sat 8-4",15,6,Active,2,1,TX,,19000,1993,2,2,0,0,,Confidential,270000,2,2,50000,500000,156000,0,,6/27/2016 15:11,6/23/2016 21:18,Kimberly Jones,0,sq ft,1,,,
Shi Shi LLC,"This sassy women's boutique has been helping local fashionistas stay on trend for the last eleven years. The business features a great selection of fashion forward apparel, jewelry, shoes and handbags. The small friendly staff is known for their customer service and for working with clients to find the perfect look. Great location in one of the area's most upscale retail developments provides high visibility and excellent name recognition. Solid base of loyal customers! Owner is ready to sell in order to pursue other interests. Owner will consider some seller financing for qualified Buyer with a reasonable down payment. Contact us today for more information!",,Shi Shi,Women's Apparel Boutique,"95 Woods Crossing, Suite 100",Lafayette,70503,0,159900,,,,1,Yes,Yes,357000,4583,6-Oct,,LAFAYETLA1-N45,,Tana Moss,Women&#039;s Clothing Stores,6/20/2016 0:00,6/20/2017 0:00,,Monday - Saturday,6-Oct,2,,Active,2,1,LA,337-984-1118,2500,2005,1,1,0,0,,Confidential,50000,2,2,80000,357000,0,0,2005,6/27/2016 15:46,6/27/2016 15:29,Tana Moss,3800,sq ft,1,,,
Luja Investments LLC,"The park is a 58 space park, 18 of which have park owned units on them. Unoccupied at this time are 4 park owned units and 5 lots. Occupancy rate of the park is at 85% or higher consistently. Park is currently being managed by Management Company. It is optional to retain the current management company or manage the park on your own. Some Seller financing available for qualified Buyer with reasonable down payment.",,Residence Row,Trailer Park for Sale,100 Saylock,Opelousas,,0,1099000,,Other interests,,1,Yes,Yes,156000,0,,,LAFAYETLA1-N46,,Tana Moss,Lessors of Residential Buildings and Dwellings,6/7/2016 0:00,6/7/2017 0:00,,,,,,Active,1,1,LA,3372546800,,2001,2,2,0,0,"The park is a 58 space park, 18 of which have park owned units on them. Unoccupied at this time are 4 park owned units and 5 lots. Occupancy rate of the park is at 85% or higher consistently. Park is currently being managed by Management Company. It is optional to retain the current management company or manage the park on your own",Confidential,0,2,1,0,156000,91980,0,,7/8/2016 20:28,7/8/2016 18:52,Tana Moss,0,sq ft,1,,,
